GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,14,89,4,7,3,16,4,5,0,3
parking-system,com.parkit.parkingsystem.service,ParkingService,18,265,5,12,5,71,5,11,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,4,60,2,6,1,19,3,11,1,9
parking-system,com.parkit.parkingsystem.model,Ticket,0,56,0,0,0,24,0,17,0,17
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,15,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,47,9,6,0,17,2,8,1,5,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,130,375,15,25,37,100,15,16,2,9
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,0,115,0,6,0,30,0,7,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,17,45,3,3,7,20,4,6,1,6
